taxa,PC1,PC2,PC3
N0135,-71.0981020665251,-15.3621690898687,3.50040550372322
N0136,-69.4760918738619,-14.4287266457418,8.53172192822399
N0137,-92.620608661147,5.76224761553941,35.1818138175651
N0138,59.581873761757,13.4996027377041,-14.1469702966551
N0139,-90.5471188807445,-0.934456100735845,30.3989408587161
N0140,-79.9468513590457,-2.23053331235682,22.577262995153
N0141,-95.3469926412194,-6.8990774460172,-2.47983332300922
N0142,-95.2141729697483,7.91385943309982,34.7778089635573
N0143,45.9866758960679,25.2839625383585,-16.2434014064881
N0144,-76.8563971255429,-9.85973421837256,-3.33780519154487
N0145,-90.6304246374537,-11.6172989194823,5.95271879283499
N0146,-65.8735478460201,-9.82381916964025,28.6439534563419
N0147,56.7837957686832,21.975268751014,-20.915128801197
N0148,-146.447299294346,-9.94119296058872,-11.6381563587905
N0149,-77.3668048487366,-13.2974032284289,29.2275296012014
N0150,-78.320138819047,-8.72574716305254,46.8841580131152
N0151,-121.875325052888,-15.1043625387822,-29.6725452777028
N0152,-88.7503078040337,-11.7032434552802,3.46323374859765
N0153,45.9592156178953,29.6079386320395,-22.9236884020094
N0154,-75.8807292772111,-8.21360854208967,-7.28902717082642
N0155,-73.6663868592722,-9.43867899156506,-10.2236878120614
N0156,55.520436321448,15.7159889051225,-15.7941025127899
N0157,-0.126344345857779,11.41880005723,7.6732447247153
N0158,-34.3568197557604,25.6490392861508,-19.9906294139104
N0159,-85.7622016524871,-6.60640906455494,-4.00590483559726
N0160,-84.6498568531508,-6.18224617234815,18.7083641067773
N0161,-53.1463388602348,-13.8684077091598,-2.13889592617718
N0162,-47.5434311551432,-12.3551823520853,-7.90332785953093
N0163,1.66414003890864,13.1087040023828,-9.81996826894927
N0164,-8.05165133311673,25.1448076839965,-3.11572777861388
N0165,-122.002644639766,11.0807518023025,16.5790441779012
N0166,105.658957772191,36.2534705600267,-16.1629728949221
N0167,97.8528526281191,36.5100752621744,-18.7382991563216
N0168,-2.33769279544446,27.286955333091,12.4408739873731
N0169,102.8167956478,37.9011361355263,-15.0056590779442
N0170,2.68724720397517,24.3342940566727,10.5756660743926
N0171,-25.0166910728512,9.269639545,-13.0491273029241
N0172,37.9812760072047,17.345172353696,-18.6859752844708
N0173,-58.4903297558047,16.3667239444836,-12.8997686127063
N0174,-146.219089572574,9.20228033812984,27.1793030659661
N0175,20.7584444387141,19.7523957691888,28.0990805807609
N0176,-164.263717402889,2.29438866937553,29.8863445567295
N0177,98.1490091294343,33.5389486669226,-27.5428990613168
