taxa,PC1,PC2,PC3,PC4,PC5
33-16,1.69009277858505,-4.90645264179876,0.983903812183165,0.517539940434386,-0.14514998921537
38-11,-1.65645123985242,-4.78901661868659,-0.699577064668724,-4.31391361083484,1.19646136660896
4226,-0.907284792962628,-6.24409583625215,2.2846229738562,-2.15671679903581,2.80728988449926
4722,2.17533890183921,-6.26307140778682,5.61956981259361,-1.98937626966438,-16.1239424814858
A188,0.591891171383583,-4.94944510115844,0.779939923404203,-2.05335332328345,-2.67008448849131
A214N,-13.6545350071242,0.875279541637456,-21.6149888752376,1.56375170280913,-2.28435706530472
A239,-0.566859042698665,-6.00005837887307,0.262240292125324,-4.68951139433319,2.84541010483175
A272,3.77883601223943,2.76386004256286,2.25695589601686,-1.30791220639737,-4.30020560001555
A441-5,5.45234741921164,-0.130754408552892,1.11057426130952,-2.01269031563219,-0.415181965038479
A554,-0.962933177500356,-5.51002070289144,1.08379747051609,-5.27903778586382,4.18670826917802
A556,0.525334374252413,-6.59574070279558,1.91249474627902,-2.06266832838644,3.69255277017552
A6,10.4564387133685,10.4900310517522,0.487831234458278,0.610345309777898,0.216184524988329
A619,-0.044106020482081,-15.4988313385409,5.38048967956093,-5.36353105520764,6.77329254710638
A632,-19.6532441559217,0.0213581563645261,-27.1921953724127,2.71012955954819,-4.37647969157498
A634,-18.1029137893155,0.535918139842394,-25.2120606329749,2.99349006480628,-2.18834978220531
A635,-18.6530927338654,-0.51930512511019,-25.3401449904746,1.87971146251538,-1.48191314762403
A641,-11.5037315327149,-3.70616298074054,-17.3985262523944,2.02334844520883,-1.47332874692281
A654,-0.3768182262301,-5.95777399148759,-1.04381831991702,-7.2740440823941,5.76021242159961
A659,-1.20526593370655,-5.41107975606805,1.59023615941234,-3.17299179156269,1.82593215595319
A661,0.507501424521338,-5.00827226352272,2.45975446823171,-3.13525142690296,-2.70233566333344
A679,-30.1518785249664,13.1381349372474,12.317141601265,3.5981962471048,-1.14540733816865
A680,-35.9893640618332,16.0670824807108,12.5519472118108,3.67447312811735,-0.353537825154616
A682,0.888532417531949,-8.49719922404172,0.0783864389702719,10.7039224238394,4.13270517719772
AB28A,0.933936476308869,-2.606065235001,1.09443685911862,-0.872541519429097,2.92039480958534
B10,-15.2302867046833,-1.31125645824532,-7.22897830179726,-4.29113227038348,4.32637130836599
B103,-3.02217755894036,-5.06848665863353,-2.76424639441099,0.999710748046452,1.63573893102962
B104,-21.4185969202412,4.65790115092296,1.35738807008482,0.135891712629102,0.987981029879246
B105,-8.45001101278115,-0.443953382132213,0.936992094496327,-3.92705216102654,0.504862963850705
B109,-29.9839096604145,13.235794792501,9.18884539056993,1.64711830733128,0.182204724534077
B115,0.824809966238579,-4.94528680314377,0.0154051461047477,-0.908672205103936,-0.422563478929
B14A,-25.3174712193567,1.08242736883262,-29.3287397603247,3.055670973357,-3.30203852282278
B164,-2.35939131875367,-3.53525425790074,0.773914375187306,-2.12226259220305,2.87296346525647
B2,-4.08047914397623,-4.00852616145562,-1.81291913656712,-3.33004338056839,3.97933788155576
B37,-14.4588829607243,-0.0177691568063784,5.76625982612732,-5.56413562778575,2.60205016404994
B46,-7.02578136554453,-6.87763643173217,-3.67461411270336,-7.00280093697644,5.47816102118445
B52,-1.98950890425347,-4.8910512725984,0.0266531216487298,-5.4562487797477,4.23736662803159
B57,0.38070096261965,-3.21000205969193,1.72440898810761,-4.11109276221973,0.414496648679351
B64,-15.2079292533868,1.20647410221459,-24.6702994560253,3.0643886218381,-3.60983880275829
B68,-19.6570365563181,0.195201495603046,-27.3594594843192,2.48128186139538,-3.02175528344286
B73,-38.7773847900676,17.8480596046813,13.4097406859998,3.70238597470796,-0.123011786234052
B73HTRHM,-37.9079591587877,17.2175757035063,12.8486073238472,3.37365264698086,-0.258292896535427
B75,-1.28386061021228,-6.42995280122806,0.944817458512061,-0.178459784269156,2.77057667334098
B76,-12.8776740992633,-0.360891609266007,5.81317715460069,-5.28721397191816,2.77998397430764
B77,1.89172034332204,-3.38364182702887,-1.55756160024976,0.359895111233974,-1.87188842008275
B79,-6.37401268287291,-4.22641117390687,-4.04434827071491,-3.06249473173075,2.65179945754986
B84,-21.7665916335998,4.65430988070393,0.594266886788838,0.851165366367729,-0.355841218190583
B97,-2.58469913925431,-7.6287881464727,-1.62778159393231,-2.29136122041384,0.996457440826173
C103,4.09819143264195,-11.9681421186909,3.70440147400571,23.8904329022233,1.41811901377671
C123,2.42076656556073,-9.93569624734736,2.56957973206511,17.6695442106279,-0.0367006088658016
C49A,0.699854963582583,-4.68918646001015,-0.725370018298081,-2.40958905832565,-0.369459469531109
CH701-30,-2.66292206526439,-5.09235507754381,-0.233511111410091,-1.15096838110957,0.217721958654127
CH9,1.56282156624324,-3.93403864344636,-0.0158010020851824,-7.8566306481443,7.35071122029783
CI7,-0.00771792706588923,-5.33606368467807,1.6252358971821,0.448703268307382,0.425379241949601
CI187-2,4.40461159823248,-2.36933485073089,1.11995877005233,-3.21907058508014,4.11243167685095
CI21E,-5.77457692443535,-0.364013880599251,-0.0496692062899538,-2.35517454441125,0.543389787770206
CI28A,-0.849255689391121,-1.64958033450409,-1.12938420781861,-1.83902112954052,3.89982286080341
CI31A,0.571911649504702,-4.28152223990195,2.62815011255347,-1.19162171664536,0.0394595585046773
CI3A,-0.651810787678341,-3.46654478776651,-2.59773929950393,-1.42497600750007,-1.84842268522994
CI64,3.22008965888046,-2.30774692484265,0.605491062710401,-2.45054171896852,-1.53899820888299
CI66,3.272993191225,-1.85207330930431,0.992165198757334,-1.54322318521508,-2.01637863831823
CI90C,2.01823036508694,-4.65340885074974,4.0305461732681,-2.27520912344038,4.00345244060513
CI91B,-4.33629297413817,-2.66490386230682,0.765071648603235,-0.729967976062037,3.51024944863238
CM105,-20.3789334944565,-0.122907279339583,-19.7854410135218,0.793931178897331,-2.14711534066527
CM174,-14.7668901243185,-2.26910335811801,-21.9551479151445,0.787960470943553,-3.08389416083428
CM37,-1.83655650361116,-8.76671205796985,-1.13308013147558,-2.90681234745755,-7.67919122396416
CM7,-0.0236150713064148,-6.929456691789,0.53080816918367,-0.404561947868312,-0.923972118343901
CML10,10.4397626180872,7.42057229877193,1.21290484452817,-2.37099932423585,-0.198040642689856
CML103,8.49928084249951,6.19081717410654,-0.133017511663912,-0.0607221916345861,-0.819555112446595
CML108,8.35233539077504,8.32139266471993,-1.1260984021026,0.305198920855388,0.662226788563665
CML11,10.6987433104881,9.53275689551825,0.385785624328239,-0.975370026914809,1.95224122505178
CML14,9.2973271494742,8.96870137021775,-0.824996747789019,-0.682675365839227,-0.590255610087233
CML154Q,8.4700695324138,7.76525503634059,-1.28944880930381,-0.137319516181732,-0.226650075735816
CML157Q,9.82559435311039,7.35351190073272,-2.30870410799424,-1.4542957065153,0.350548757420348
CML158Q,9.70040041603977,8.27169422213032,-0.153067314699809,-0.455777529117684,-0.445901683445237
CML218,9.94549858929281,7.21130863501051,-0.936343875643742,0.74923197563772,0.299862239345767
CML220,7.56933749934985,7.72957777070658,-1.58833793174776,-1.94616012233177,-0.676916477107824
CML228,10.961880208348,7.93757774248295,0.976408931741963,-1.20903489153265,0.267950006805921
CML238,8.90683381102794,9.82824547376689,0.460731057145634,-0.630181591978147,-0.185257261586692
CML247,9.96128279524049,6.01238118327805,1.11658667358043,-1.30462373012902,-2.9555541963049
